model,storage,carrier,condition,price
Apple iPhone 8 Plus,128gb,verizon,faulty,58.8
Apple iPhone 8 Plus,128gb,AT&T,good,166.01
Apple iPhone 8 Plus,128gb,AT&T,poor,149.41
Apple iPhone 8 Plus,128gb,AT&T,faulty,49.8
Apple iPhone 8 Plus,128gb,T-Mobile,good,151.51
Apple iPhone 8 Plus,128gb,T-Mobile,poor,136.36
Apple iPhone 8 Plus,128gb,T-Mobile,faulty,45.45
Apple iPhone 8 Plus,128gb,sprint,good,139.75
Apple iPhone 8 Plus,128gb,sprint,poor,125.77
Apple iPhone 8 Plus,128gb,sprint,faulty,41.92
Apple iPhone 8 Plus,128gb,other,good,86.24
Apple iPhone 8 Plus,128gb,other,poor,77.62
Apple iPhone 8 Plus,128gb,other,faulty,25.87
Apple iPhone 8 Plus,256gb,unlocked,good,219.0
Apple iPhone 8 Plus,256gb,unlocked,poor,197.1
Apple iPhone 8 Plus,256gb,unlocked,faulty,65.7
Apple iPhone 8 Plus,256gb,verizon,good,219.0
Apple iPhone 8 Plus,256gb,verizon,poor,197.1
Apple iPhone 8 Plus,256gb,verizon,faulty,65.7
Apple iPhone 8 Plus,256gb,AT&T,good,185.49
Apple iPhone 8 Plus,256gb,AT&T,poor,166.94
Apple iPhone 8 Plus,256gb,AT&T,faulty,55.65
Apple iPhone 8 Plus,256gb,T-Mobile,good,169.29
Apple iPhone 8 Plus,256gb,T-Mobile,poor,152.36
Apple iPhone 8 Plus,256gb,T-Mobile,faulty,50.79
Apple iPhone 8 Plus,256gb,sprint,good,156.15
Apple iPhone 8 Plus,256gb,sprint,poor,140.53
Apple iPhone 8 Plus,256gb,sprint,faulty,46.84
Apple iPhone 8 Plus,256gb,other,good,96.36
Apple iPhone 8 Plus,256gb,other,poor,86.72
Apple iPhone 8 Plus,256gb,other,faulty,28.91
Apple iPhone SE (2nd Generation),64 GB,unlocked,good,172.0
Apple iPhone SE (2nd Generation),64 GB,unlocked,poor,154.8
Apple iPhone SE (2nd Generation),64 GB,unlocked,faulty,51.6
Apple iPhone SE (2nd Generation),64 GB,verizon,good,172.0
Apple iPhone SE (2nd Generation),64 GB,verizon,poor,154.8
Apple iPhone SE (2nd Generation),64 GB,verizon,faulty,51.6
Apple iPhone SE (2nd Generation),64 GB,AT&T,good,145.68
Apple iPhone SE (2nd Generation),64 GB,AT&T,poor,131.12
Apple iPhone SE (2nd Generation),64 GB,AT&T,faulty,43.71
Apple iPhone SE (2nd Generation),64 GB,T-Mobile,good,132.96
Apple iPhone SE (2nd Generation),64 GB,T-Mobile,poor,119.66
Apple iPhone SE (2nd Generation),64 GB,T-Mobile,faulty,39.89
Apple iPhone SE (2nd Generation),64 GB,sprint,good,122.64
Apple iPhone SE (2nd Generation),64 GB,sprint,poor,110.37
Apple iPhone SE (2nd Generation),64 GB,sprint,faulty,36.79
Apple iPhone SE (2nd Generation),64 GB,other,good,75.68
Apple iPhone SE (2nd Generation),64 GB,other,poor,68.11
Apple iPhone SE (2nd Generation),64 GB,other,faulty,22.7
Apple iPhone SE (2nd Generation),128 GB,unlocked,good,195.0
